session_id,iki_variance,backspace_ratio,dwell_time,typing_speed,mouse_activity,click_count,app_switch_rate,fatigue_label
4b708a3f,842.3651,0.0,0.1789,6.78,310,36,7,5
2702b0ca,3.1488,0.3,0.1268,66.53,0,0,9,3
2702b0ca,0.0274,0.0,0.0935,268.82,0,0,9,3
2702b0ca,0.0115,0.0,0.0983,315.37,0,0,9,3
2702b0ca,0.0562,0.5,0.0764,193.16,0,0,9,3
2702b0ca,30.9284,0.0,0.1871,30.95,0,0,9,3
c748451e,1182.182,0.0,0.4011,3.41,0,0,7,2
c748451e,23.2466,0.0,0.3782,23.71,0,0,7,2
c748451e,1106.1157,0.0,0.3805,3.26,0,0,7,2
00495c7f,106.7756,0.0,0.1775,18.14,0,0,5,3
8b13abc9,4633.757,0.0,0.1472,2.91,1031,50,5,7
8b13abc9,0.0096,0.0,0.1194,346.73,0,0,5,7
363234e5,5.2386,0.0,0.1152,66.87,23,2,5,8
363234e5,0.0375,0.0,0.1164,224.04,0,0,5,8
363234e5,0.0065,0.0,0.1236,388.12,0,0,5,8
363234e5,0.0928,0.0,0.0884,204.1,0,0,5,8
363234e5,0.058,0.0,0.1393,193.06,0,0,5,8
363234e5,0.1167,0.2,0.096,153.54,0,0,5,8
363234e5,0.0162,0.0,0.0897,273.46,0,0,5,8
363234e5,41.28,0.0,0.0926,27.69,56,4,5,8
363234e5,0.0797,0.0,0.1081,212.3,0,0,5,8
363234e5,17.9183,0.0,0.1358,25.87,94,6,5,8
363234e5,15957.1064,0.0,0.1975,1.55,73,2,5,8
e74bb9ea,9469.2192,0.0,0.1072,1.48,189,2,3,1
e74bb9ea,0.1292,0.2,0.1024,166.58,0,0,3,1
e74bb9ea,0.3448,0.2,0.1086,116.1,0,0,3,1
e74bb9ea,0.0039,0.0,0.0931,349.39,0,0,3,1
e74bb9ea,4.5474,0.0,0.0937,70.41,30,4,3,1
e74bb9ea,0.0154,0.0,0.1008,352.55,0,0,3,1
e74bb9ea,1.6213,0.0,0.1347,103.06,20,2,3,1
ca653e9f,5.2498,0.0,0.1448,65.47,39,4,8,2
ca653e9f,0.0091,0.0,0.1059,377.72,0,0,8,2
ca653e9f,17.2582,0.0,0.1163,32.59,73,10,8,2
ca653e9f,5.8363,0.0,0.1223,63.98,42,4,8,2
ca653e9f,836.071,0.0,0.1872,6.74,73,10,8,2
ca653e9f,0.0376,0.0,0.1056,247.94,0,0,8,2
ca653e9f,917.1126,0.0,0.0894,6.47,50,4,8,2
ac76577c,7041.9994,0.0,0.3102,2.26,76,6,8,7
ac76577c,7.1163,0.1,0.2352,39.82,43,2,8,7
eb39aff8,20363.0725,0.0,0.5364,1.38,181,10,10,2
3a29812f,3196.4246,0.0,0.36,2.82,118,10,7,5
3a29812f,2.3039,0.0,0.1174,53.92,32,4,7,5
2634c63a,3.3409,0.2,0.1754,70.87,26,4,10,4
2634c63a,0.0047,0.0,0.0998,280.05,2,0,10,4
2634c63a,0.2336,0.0,0.1336,172.13,1,0,10,4
2634c63a,21244.3914,0.0,0.1785,1.31,162,12,10,4
c5ebf1b9,4625.5161,0.0,0.646,2.39,169,4,17,9
c5ebf1b9,2.9905,0.0,0.361,80.84,15,2,17,9
c5ebf1b9,4696.0668,0.0,0.6434,2.86,182,12,17,9
c5ebf1b9,32.3065,0.1,0.9595,35.88,30,2,17,9
c5ebf1b9,3301.6492,0.0,0.088,3.15,128,8,17,9
8a11a8c1,6187.0099,0.0,0.1934,2.53,367,22,7,5
8a11a8c1,6.2407,0.0,0.1067,55.68,32,6,7,5
6406fe52,8.5579,0.0,0.215,44.48,20,2,7,9
6406fe52,0.0333,0.0,0.1115,149.4,0,0,7,9
6406fe52,0.008,0.0,0.1373,188.2,0,0,7,9
6406fe52,0.5485,0.0,0.1163,131.81,0,0,7,9
6406fe52,1448.1878,0.0,0.3463,4.65,198,8,7,9
89e4fe9e,0.3505,0.0,0.2669,106.83,0,0,9,8
89e4fe9e,1098.8943,0.0,0.2357,4.38,154,8,9,8
89e4fe9e,1.3693,0.0,0.2162,42.02,0,0,9,8
4aeb0810,536.8874,0.0,0.2849,5.99,478,58,12,6
4aeb0810,2.3985,0.0,0.5965,126.67,0,0,12,6
4aeb0810,0.0364,0.1,0.1084,210.68,0,0,12,6
4aeb0810,5.3132,0.1,0.0976,63.79,2,0,12,6
4aeb0810,25.5929,0.0,0.1802,22.31,87,8,12,6
4aeb0810,0.002,0.0,0.1026,467.25,0,0,12,6
4aeb0810,0.0251,0.2,0.1098,223.75,0,0,12,6
4aeb0810,0.3854,0.0,0.099,172.92,0,0,12,6
4aeb0810,0.0377,0.0,0.1104,239.21,0,0,12,6
4aeb0810,47.1989,0.0,0.1023,26.22,0,0,12,6
4aeb0810,0.0148,0.0,0.091,253.81,0,0,12,6
4aeb0810,1.8043,0.0,0.0903,112.16,15,2,12,6
d2591586,8.8396,0.0,0.1357,58.88,26,0,3,9
d2591586,0.0099,0.0,0.1123,325.26,0,0,3,9
d2591586,0.0026,0.0,0.0888,481.66,0,0,3,9
d2591586,0.0896,0.4,0.0714,171.17,0,0,3,9
d2591586,0.0837,0.0,0.0876,274.68,0,0,3,9
d2591586,0.0095,0.0,0.0966,370.41,0,0,3,9
d2591586,0.053,0.1,0.0812,192.8,0,0,3,9
d2591586,0.0398,0.3,0.0785,192.07,0,0,3,9
d2591586,0.0066,0.0,0.0975,292.72,0,0,3,9
d2591586,0.0179,0.0,0.097,262.87,0,0,3,9
d2591586,0.0037,0.0,0.1047,371.84,0,0,3,9
